region,avg_duration,median_duration,max_duration,count
Sumy Oblast,117.3,52.0,1440.0,4078
Donetsk Oblast,107.0,60.0,1440.0,6876
Chernihiv Oblast,103.1,40.4,1440.0,2513
Kyiv Oblast,101.5,47.0,951.4,1950
Zhytomyr Oblast,93.7,57.8,835.9,1466
Kharkiv Oblast,83.5,40.7,1440.0,6502
Khmelnytskyi Oblast,82.4,60.0,659.0,1030
Vinnytsia Oblast,79.8,47.3,704.3,1482
Poltava Oblast,78.8,34.5,1180.3,3993
Kyiv City,70.7,38.4,631.4,2087
Rivne Oblast,70.7,47.6,490.0,892
Chernivtsi Oblast,70.5,48.4,361.2,747
Ternopil Oblast,69.8,48.6,356.5,842
Kirovohrad Oblast,69.4,34.0,805.3,3344
Cherkasy Oblast,68.9,34.4,993.4,2459
